City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
220,Gaoua,BF,2021-02-07 21:26:03,10.2992,-3.2508,83.68,15,18,4.18,few clouds
221,Samarai,PG,2021-02-07 21:26:04,-10.6167,150.6667,82.11,75,100,4.12,overcast clouds
222,Haines Junction,CA,2021-02-07 21:26:04,60.7522,-137.5108,-13.0,53,16,1.14,few clouds
223,Yar-Sale,RU,2021-02-07 21:26:04,66.8333,70.8333,-11.24,89,100,24.09,light snow
224,Barguzin,RU,2021-02-07 21:26:04,53.6167,109.6167,6.13,89,98,2.64,overcast clouds
225,Lasa,IT,2021-02-07 21:26:04,46.6166,10.7002,39.2,100,90,4.61,mist
226,Lanzhou,CN,2021-02-07 21:26:05,36.0564,103.7922,15.8,38,0,6.71,clear sky
227,Iskateley,RU,2021-02-07 21:26:05,67.6803,53.1512,-16.8,87,100,17.0,overcast clouds
228,Ixtapa,MX,2021-02-07 21:26:05,20.7,-105.2,75.2,73,20,11.5,few clouds
229,Clyde River,CA,2021-02-07 21:22:37,70.4692,-68.5914,-4.0,92,75,2.3,light snow
230,Chuy,UY,2021-02-07 21:26:06,-33.6971,-53.4616,71.53,67,16,10.45,few clouds
231,Lodja,CD,2021-02-07 21:26:06,-3.4833,23.4333,72.68,84,34,1.59,light rain
232,Capanema,BR,2021-02-07 21:21:13,-1.1958,-47.1808,78.96,87,76,4.83,broken clouds
233,Miranda,CO,2021-02-07 21:26:06,3.2499,-76.2281,84.2,54,75,12.66,broken clouds
234,Hay River,CA,2021-02-07 21:26:07,60.8156,-115.7999,-29.2,62,27,5.75,scattered clouds
235,Dzhebariki-Khaya,RU,2021-02-07 21:26:07,62.2167,135.8,-34.6,81,27,0.47,scattered clouds
236,Maragogi,BR,2021-02-07 21:26:07,-9.0122,-35.2225,79.48,79,90,11.03,overcast clouds
237,Novyy Urengoy,RU,2021-02-07 21:26:07,66.0833,76.6333,0.32,93,100,17.18,light snow
238,Brainerd,US,2021-02-07 21:26:08,46.358,-94.2008,-6.0,49,20,5.75,few clouds
239,Cockburn Town,TC,2021-02-07 21:23:22,21.4612,-71.1419,80.6,69,20,9.22,few clouds
240,Nikolskoye,RU,2021-02-07 21:25:41,59.7035,30.7861,17.6,86,75,13.42,light snow
241,Torbay,CA,2021-02-07 21:22:47,47.6666,-52.7314,30.99,69,20,28.77,few clouds
242,Souillac,MU,2021-02-07 21:26:09,-20.5167,57.5167,80.6,78,40,10.36,scattered clouds
243,Salekhard,RU,2021-02-07 21:26:09,66.53,66.6019,-17.32,87,100,30.44,light snow
244,Bahia Blanca,AR,2021-02-07 21:26:09,-38.7196,-62.2724,66.69,59,83,19.26,broken clouds
245,Valdivia,CL,2021-02-07 21:22:03,-39.8142,-73.2459,77.0,53,0,10.36,clear sky
246,Kendari,ID,2021-02-07 21:26:10,-3.945,122.4989,75.02,92,86,3.38,overcast clouds
247,Kaitangata,NZ,2021-02-07 21:26:10,-46.2817,169.8464,62.31,66,100,2.86,overcast clouds
248,Grave,NL,2021-02-07 21:26:10,51.759,5.7388,24.01,80,90,18.41,overcast clouds
249,Le Pradet,FR,2021-02-07 21:26:10,43.1066,6.0172,48.99,57,0,16.11,clear sky
250,Kaoma,ZM,2021-02-07 21:26:10,-14.7833,24.8,67.8,94,100,1.97,light rain
251,Gunnedah,AU,2021-02-07 21:26:11,-30.9833,150.25,70.0,75,0,4.0,clear sky
252,Aktash,RU,2021-02-07 21:26:11,50.3,87.7333,4.39,89,16,6.93,few clouds
253,Mukhen,RU,2021-02-07 21:26:11,48.1,136.1,-8.28,89,100,5.7,overcast clouds
254,Kununurra,AU,2021-02-07 21:26:12,-15.7667,128.7333,78.8,100,40,3.44,scattered clouds
255,Beruwala,LK,2021-02-07 21:26:12,6.4788,79.9828,75.15,90,2,7.47,clear sky
256,Quatre Cocos,MU,2021-02-07 21:26:12,-20.2078,57.7625,80.6,78,40,10.36,scattered clouds
257,Tymovskoye,RU,2021-02-07 21:26:12,50.8456,142.655,2.91,92,100,6.22,light snow
258,Cidreira,BR,2021-02-07 21:26:13,-30.1811,-50.2056,74.25,63,0,8.72,clear sky
259,Mangan,IN,2021-02-07 21:26:13,27.5167,88.5333,52.99,31,0,9.62,clear sky
260,Yegorlykskaya,RU,2021-02-07 21:26:13,46.5656,40.6562,25.38,78,100,4.25,overcast clouds
